sample,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70#0,feature_71#0,feature_72#0,feature_73#0,feature_74#0,feature_75#0,feature_76#0,feature_77#0,feature_78#0,feature_79#0,feature_80#1,feature_81#1,feature_82#1,feature_83#1,feature_84#1,feature_85#1,feature_86#1,feature_87#1,feature_88#1,feature_89#1,feature_90#2,feature_91#2,feature_92#2,feature_93#2,feature_94#2,feature_95#2,feature_96#2,feature_97#2,feature_98#2,feature_99#2,status
sample_10,0.49092285,0.052313384,0.290164212,0.538263759,0.403858729,0.666754452,0.523725975,0.311606693,0.090853602,0.125059902,0.2364722,0.500982454,0.895158254,0.887263927,0.036731196,0.034064585,0.500341853,0.681995363,0.917748447,0.32488887,0.05047937,0.801231298,0.99650274,0.394591065,0.557068161,0.857912038,0.983927555,0.3393007,0.698026588,0.219231851,0.190859611,0.915030755,0.665417625,0.049696815,0.145346083,0.898298244,0.268078782,0.252410811,0.487697965,0.62869601,0.447287046,0.297934367,0.283662533,0.461796854,0.794323858,0.521429672,0.998021008,0.920656512,0.462995253,0.212975989,0.140621479,0.286313931,0.08528901,0.262186044,0.055961405,0.607744939,0.058898638,0.861345057,0.850307144,0.246565176,0.719710003,0.202462749,0.011153707,0.522296985,0.289187529,0.720138652,0.727246,0.313918703,0.508862344,0.597241611,0.204343244,0.778092771,0.312567986,0.929161166,0.926222304,0.222387139,0.765185565,0.458294978,0.763050622,0.703466597,0.940802268,0.163977548,0.217557081,0.372094312,0.618541446,0.312198219,0.349534678,0.566936445,0.014416894,0.651178179,0.894530544,0.753785885,0.473341268,0.332896029,0.088887351,0.386596207,0.283144164,0.472028932,0.865932445,0.476901273,1
sample_11,0.055698048,0.849478788,0.581291524,0.367872987,0.104093031,0.974394127,0.905417915,0.485032119,0.057191609,0.632126373,0.042225,0.422034076,0.314301599,0.101640433,0.600079752,0.89938046,0.75765171,0.479399567,0.112766464,0.458982383,0.962653866,0.518688289,0.283562392,0.648117321,0.643924037,0.858449218,0.952490594,0.694012971,0.182283837,0.710305849,0.102505754,0.952916314,0.383898779,0.610077189,0.61968597,0.130275231,0.484654146,0.787407037,0.420819446,0.662786328,0.24764824,0.056698788,0.128392575,0.246239312,0.305672275,0.506521019,0.768762511,0.399973035,0.343503238,0.747954156,0.550272386,0.715865525,0.150570884,0.269484771,0.581918924,0.178155921,0.236236425,0.601521779,0.450354508,0.526224853,0.566716041,0.867660803,0.897194225,0.673920792,0.205744793,0.13041045,0.637221893,0.520230844,0.668447812,0.212565121,0.696048323,0.070703274,0.714934327,0.734091414,0.267396332,0.678972738,0.746435651,0.32547504,0.554042986,0.364909693,0.117190472,0.623481434,0.647413555,0.589200216,0.912738089,0.831614245,0.532694142,0.346449417,0.261595113,0.719659444,0.566487491,0.309168382,0.15826732,0.601908517,0.253715403,0.775227536,0.992152395,0.114641119,0.564559067,0.975636039,0
sample_12,0.527695884,0.195446735,0.852782664,0.772130423,0.507471522,0.88606945,0.920879331,0.995543666,0.0381324,0.863062925,0.702180023,0.056256756,0.525824088,0.084254776,0.227328657,0.64841595,0.858696939,0.53331936,0.569087529,0.431989473,0.781206672,0.835784148,0.488151515,0.128084266,0.712270124,0.724274021,0.122641368,0.815187034,0.005340986,0.917242389,0.662036772,0.80913312,0.512522819,0.897447324,0.175039101,0.976748819,0.819085912,0.365177564,0.185716051,0.109840133,0.576125835,0.126307021,0.190755097,0.27530931,0.470521611,0.600562325,0.34869549,0.832175947,0.699197001,0.618226242,0.626744405,0.367404889,0.010778543,0.076419603,0.459683273,0.66115045,0.390920615,0.477030111,0.741493311,0.563333829,0.49479844,0.70303823,0.145664946,0.845286558,0.095669984,0.383582821,0.624633751,0.76259374,0.240109863,0.280621399,0.812901278,0.183497868,0.936182011,0.609358571,0.55934734,0.05909634,0.350094526,0.392704909,0.063831665,0.414100444,0.005719834,0.922881044,0.515015014,0.782246022,0.159087031,0.586244547,0.40644706,0.491253384,0.764955651,0.992561499,0.984380345,0.714772861,0.158008246,0.582713703,0.536276427,0.10377179,0.596293456,0.909604015,0.876660003,0.009365692,0
sample_13,0.138362218,0.745838803,0.99805187,0.67291985,0.723233369,0.348579398,0.571599614,0.35989893,0.623917327,0.494415888,0.473806593,0.841142153,0.863778965,0.33610834,0.00770868,0.471506218,0.327578702,0.202434127,0.082581245,0.815040222,0.938586438,0.37502998,0.849450863,0.852836452,0.567140639,0.021576679,0.745152687,0.898914405,0.305147042,0.477958522,0.528759712,0.986574483,0.772943047,0.634710072,0.313939041,0.235644809,0.306347357,0.122901038,0.249560074,0.975795184,0.046359997,0.797591162,0.318117904,0.729561762,0.118501598,0.997033444,0.225731995,0.815992634,0.035452568,0.513348468,0.416772089,0.915643729,0.477465183,0.251566388,0.147211708,0.07021918,0.631320907,0.877930795,0.991943552,0.458980944,0.666622147,0.382830699,0.916979031,0.199494053,0.064770905,0.332411118,0.01109661,0.397862708,0.998223171,0.993173975,0.205140561,0.489717145,0.391505926,0.07295744,0.423164083,0.701892701,0.639367933,0.094399952,0.708209114,0.069348942,0.524738162,0.629398589,0.801529986,0.4560497,0.514556561,0.210564099,0.295642019,0.600978914,0.155494783,0.089486146,0.776263141,0.889477649,0.921504189,0.309992406,0.54979464,0.332239768,0.556006473,0.39413742,0.7212879,0.226379398,1
sample_14,0.25765629,0.046884574,0.236137352,0.703254331,0.775787073,0.380480428,0.845441106,0.122712852,0.729102634,0.749305626,0.379367355,0.400295424,0.382042033,0.595838949,0.334369609,0.909867024,0.677049901,0.504705286,0.136222131,0.83183574,0.792724837,0.345559704,0.195192808,0.394062079,0.271848684,0.298799138,0.745858365,0.208686223,0.302681338,0.842507481,0.914723285,0.082521903,0.032882332,0.225108512,0.153347931,0.94994151,0.835585935,0.981078037,0.848025674,0.593364162,0.375169502,0.015733117,0.61384808,0.389137993,0.740697729,0.274835756,0.652156228,0.785983066,0.546809406,0.414663144,0.162541022,0.77408266,0.276880098,0.305725915,0.129993293,0.860885429,0.982245811,0.628992551,0.947710362,0.626316418,0.26725287,0.834969508,0.689961955,0.741724017,0.477787556,0.885687852,0.639427972,0.939502114,0.196560435,0.766573198,0.872355456,0.624664253,0.916718969,0.844233723,0.847845233,0.816701287,0.32566374,0.633566562,0.567618343,0.343368479,0.389252233,0.063270598,0.40333935,0.53123089,0.025539868,0.890446904,0.784775523,0.581268686,0.177821969,0.92903529,0.583117154,0.212118718,0.327838721,0.701108739,0.71865124,0.912142866,0.76390006,0.86121819,0.257220775,0.370794105,1
sample_15,0.559911174,0.867165182,0.750505847,0.030266477,0.740153192,0.338703739,0.973127099,0.095486174,0.938437828,0.25105243,0.617891077,0.576584743,0.570734031,0.598988248,0.259371084,0.99860984,0.168189093,0.758610532,0.228902491,0.383520106,0.625333841,0.043481759,0.775913514,0.697345881,0.963633595,0.524267549,0.132385454,0.768179764,0.345541762,0.374927358,0.53366662,0.440605206,0.815350242,0.603702204,0.282903984,0.636715748,0.361406768,0.423820577,0.732152124,0.230337777,0.960522567,0.869220932,0.405472665,0.058347609,0.639475495,0.727854399,0.461612821,0.851078961,0.444287705,0.368676566,0.961344088,0.429653292,0.472111488,0.671992817,0.353986561,0.076180584,0.953120066,0.046898757,0.446450065,0.931500499,0.950077487,0.263764006,0.046874673,0.213747448,0.19992303,0.169786565,0.446453234,0.501092947,0.760386732,0.460109339,0.969638144,0.916594272,0.418728941,0.705192934,0.865345434,0.770756973,0.671597824,0.212044324,0.783023936,0.287189528,0.169109131,0.376022968,0.028422883,0.767638991,0.720091912,0.998941547,0.505239877,0.715930111,0.201816381,0.574784564,0.983473678,0.11829314,0.617756057,0.819463129,0.814783334,0.790116974,0.9972105,0.223938419,0.413611938,0.059156335,1
sample_16,0.699557759,0.15683145,0.869320953,0.764392825,0.598397033,0.256353049,0.696111621,0.272254097,0.336474633,0.561159923,0.973318962,0.958408843,0.539977686,0.957146009,0.629502724,0.707014122,0.30153185,0.249540143,0.905754035,0.696958914,0.062760247,0.146542741,0.117848552,0.69246144,0.684612768,0.774729487,0.016580569,0.313136632,0.356035914,0.564174328,0.482070168,0.674823246,0.063163527,0.182501458,0.039101078,0.991254727,0.430081989,0.988630573,0.237607963,0.056048148,0.289775484,0.133567558,0.434453614,0.927102656,0.221973044,0.352067429,0.521533847,0.455915781,0.698048441,0.553639983,0.030190558,0.902920472,0.814781212,0.230098995,0.0810394,0.681965839,0.698537882,0.974564612,0.477876872,0.595919098,0.965910221,0.72830087,0.545160931,0.696176933,0.115880713,0.231089434,0.707159364,0.299304306,0.955133472,0.239277105,0.995192215,0.049776042,0.348764851,0.53410468,0.589083224,0.516692519,0.331270592,0.635349632,0.058389886,0.095388793,0.37251535,0.779161554,0.815445039,0.701921731,0.482833877,0.289903076,0.861905365,0.035875578,0.547585548,0.087896463,0.507248216,0.046131453,0.925121217,0.223545848,0.660185398,0.021809537,0.966800282,0.715013125,0.680190207,0.521839342,0
sample_17,0.908307144,0.066029112,0.469550687,0.513218809,0.056738543,0.888471868,0.397067035,0.483834996,0.897993754,0.802390098,0.078135032,0.035888737,0.899124264,0.418971954,0.591330436,0.998086719,0.803046129,0.614157878,0.20122804,0.497227945,0.116695273,0.376483615,0.477534312,0.576782086,0.509260021,0.098934696,0.103577931,0.59006883,0.097579156,0.198291523,0.948693506,0.080985611,0.057604565,0.578966257,0.307722491,0.723538526,0.560641798,0.876203492,0.108162724,0.230994214,0.108844833,0.559937605,0.472566612,0.81393004,0.887605819,0.221373805,0.443320809,0.425271987,0.1286851,0.774149696,0.353918786,0.245103814,0.590632556,0.148237023,0.562292547,0.728178672,0.684121097,0.675966935,0.168912407,0.536120313,0.384436567,0.304990365,0.955595019,0.424672139,0.284957576,0.813246928,0.092213586,0.565704682,0.596870907,0.033295752,0.770388288,0.040608347,0.074069398,0.342279654,0.750530597,0.79071254,0.853901417,0.597241378,0.538683307,0.881623318,0.11154675,0.894434325,0.209451718,0.519286543,0.317045855,0.107418194,0.803304514,0.895686662,0.772940286,0.981958637,0.379961004,0.021832865,0.96081528,0.871638063,0.440976795,0.29045813,0.126698007,0.473274961,0.097424665,0.001451749,1
sample_18,0.928788181,0.280765715,0.585419855,0.023492171,0.659147135,0.297386895,0.009335187,0.835737534,0.59151213,0.000375462,0.467467831,0.62977115,0.979720834,0.430808759,0.72934287,0.185435029,0.089331098,0.894861873,0.367144445,0.659811341,0.001812567,0.609090527,0.675029541,0.034081486,0.244494581,0.087752227,0.640577387,0.339606603,0.783143513,0.784345853,0.309308105,0.94343619,0.660400402,0.577353979,0.017694192,0.289901728,0.588395968,0.856996273,0.967837714,0.20407884,0.670299643,0.448694503,0.304431591,0.380683887,0.854862593,0.290748708,0.913185324,0.053511611,0.254521219,0.453878169,0.135237628,0.115059518,0.640927909,0.46085913,0.857856263,0.661315226,0.842553357,0.571628418,0.336793244,0.057161701,0.844603717,0.138748775,0.952086745,0.500565075,0.874027207,0.43995003,0.20659985,0.01060768,0.470406108,0.95970949,0.017263664,0.232649188,0.422020243,0.508492608,0.036545428,0.344307355,0.390861075,0.728862714,0.849343751,0.49293524,0.425502716,0.252142606,0.519819876,0.904027656,0.153648323,0.593875357,0.657646792,0.593238197,0.460979612,0.137029961,0.419885081,0.907307234,0.755669684,0.5944845,0.375190776,0.883853601,0.177428233,0.62991147,0.188728984,0.729956672,1
sample_19,0.297081079,0.201379801,0.980665944,0.503055285,0.989246805,0.755921914,0.012064811,0.585063219,0.358636729,0.287513604,0.72613583,0.150738946,0.060196847,0.589338618,0.247983663,0.375938145,0.937006911,0.272946868,0.72127389,0.097689945,0.070522733,0.576413658,0.43216129,0.076881597,0.695700187,0.078694093,0.670695646,0.896703177,0.789445605,0.013382019,0.554616397,0.915796264,0.547514845,0.212820935,0.055819775,0.936622898,0.563403122,0.631557215,0.964040932,0.073077931,0.649328416,0.475019192,0.26073545,0.301329707,0.573597294,0.284001797,0.24579372,0.021572524,0.044755109,0.946438223,0.697258568,0.863521488,0.970819136,0.931424748,0.829650501,0.351818288,0.245055628,0.643781515,0.216803467,0.624037772,0.940470041,0.438671081,0.219001048,0.268424905,0.011684216,0.835041318,0.938304967,0.446897272,0.171565806,0.259731193,0.003130634,0.426927401,0.70821882,0.199573674,0.323557487,0.922609275,0.789529778,0.214294918,0.967607207,0.577328558,0.984566972,0.091941834,0.828009128,0.550038324,0.687868372,0.314507933,0.982888246,0.939621604,0.749718499,0.780404082,0.223684924,0.687525672,0.765086975,0.983585678,0.572955433,0.636105452,0.781441767,0.937913235,0.067758926,0.207109357,0
sample_20,0.532818087,0.499562893,0.324580117,0.932243915,0.645696752,0.053950537,0.773424558,0.944076145,0.962662269,0.261865116,0.568476857,0.59737253,0.901862672,0.759440247,0.926135933,0.07955711,0.442767368,0.227167172,0.434631261,0.296436642,0.456340501,0.26732988,0.158165876,0.339477158,0.410182259,0.87153863,0.623852348,0.225701169,0.596441885,0.818223055,0.778998191,0.058686234,0.721209555,0.522570206,0.428622232,0.132058744,0.81032605,0.849806131,0.181739036,0.373957856,0.014149595,0.426140149,0.759175521,0.807434248,0.809276596,0.814235981,0.810780015,0.450220597,0.119294062,0.808441572,0.185147249,0.556899762,0.039421603,0.887682966,0.818182661,0.631178058,0.702011653,0.829536563,0.228922685,0.46962375,0.338671436,0.124221269,0.658480164,0.850973599,0.996477838,0.674812349,0.786243946,0.21538925,0.259764709,0.945300757,0.747964206,0.052513783,0.393876996,0.812180996,0.87373903,0.110207373,0.490194399,0.918241017,0.558340702,0.478863501,0.410352856,0.618410281,0.296766881,0.604921077,0.138421176,0.888368838,0.897639127,0.93043176,0.809692521,0.726291716,0.012553305,0.414920928,0.73381198,0.785166726,0.292733463,0.757042139,0.806129185,0.288034939,0.505791728,0.376940608,1
